country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
UK,United Kingdom,2,Scotland,0,COAL,Agreement!,,,
UK,United Kingdom,2,Scotland,0,COAL,Agreement!,,,
UK,United Kingdom,2,Scotland,51620,Con,Conservative Party,Conservative Party,2016,A Strong Opposition -  A Stronger Scotland
UK,United Kingdom,2,Scotland,51620,Con,,,,
UK,United Kingdom,2,Scotland,51620,Con,,,,
UK,United Kingdom,2,Scotland,51620,Con,,,,
UK,United Kingdom,2,Scotland,51620,Con,,,,
UK,United Kingdom,2,Scotland,51102,G_SC,Scottish Greens,Scottish Greens,2016,A better Scotland needs a better Holyroad
UK,United Kingdom,2,Scotland,51102,G_SC,,,,
UK,United Kingdom,2,Scotland,51102,G_SC,,,,
UK,United Kingdom,2,Scotland,51102,G_SC,,,,
UK,United Kingdom,2,Scotland,51102,G_SC,,,,
UK,United Kingdom,2,Scotland,51320,Lab,Labour Party,Labour Party,2016,Scotland's Future Both Votes Labour
UK,United Kingdom,2,Scotland,51320,Lab,,,,
UK,United Kingdom,2,Scotland,51320,Lab,,,,
UK,United Kingdom,2,Scotland,51320,Lab,,,,
UK,United Kingdom,2,Scotland,51421,LDP,Liberal Democratic Party,Liberal Democratic Party,2016,Be the Best Again
UK,United Kingdom,2,Scotland,51421,LDP,,,,
UK,United Kingdom,2,Scotland,51421,LDP,,,,
UK,United Kingdom,2,Scotland,51421,LDP,,,,
UK,United Kingdom,2,Scotland,51421,LDP,,,,
UK,United Kingdom,2,Scotland,51402,LPUK,Libertarian Party,Libertarian Party,2016,Scottish Election 2016 Electoral Manifesto
UK,United Kingdom,2,Scotland,51953,RISE,Respect, Independence, Socialism, and Environmentalism,Respect, Independence, Socialism, and Environmentalism,2016,Another Scotland is Possible
UK,United Kingdom,2,Scotland,51953,RISE,,,,
UK,United Kingdom,2,Scotland,51902,SNP,Scottish National Party,Scottish National Party,2016,Re-Elect
UK,United Kingdom,2,Scotland,51902,SNP,,,,
UK,United Kingdom,2,Scotland,51902,SNP,,,,
UK,United Kingdom,2,Scotland,51902,SNP,,,,
UK,United Kingdom,2,Scotland,51902,SNP,,,,
UK,United Kingdom,2,Scotland,51951,UKIP,United Kingdom Independence Party,United Kingdom Independence Party,2016,Shake Up Holyrood
UK,United Kingdom,2,Scotland,51951,UKIP,,,,
